edgeId,edgeType,maneuver,fromIndex,fromName,fromRoad,fromLane,fromX,fromY,fromZ,toIndex,toName,toRoad,toLane,toX,toY,toZ,controlX,controlY,controlZ,angleDegrees,fromLaneIsLeftmostTurnLane,source,bridgePart
0,base,base,0,Road_92-Lane_0-Waypoint_14,92,0,-1.589,0.000,-381.945,561,Road_92-Lane_0-Waypoint_12,92,0,2.580,0.000,-381.938,,,,0.00,0,gley,
1,base,base,1,Road_75-Lane_0-Connector4,75,0,-37.564,0.000,161.914,9072,Road_75-Lane_0-Connector5,75,0,-34.145,0.000,161.904,,,,0.00,1,gley,
2,base,base,2,Road_154-Lane_1-Waypoint_24,154,1,-1407.215,0.200,-1247.514,2775,Road_154-Lane_1-Waypoint_26,154,1,-1407.215,0.200,-1243.483,,,,0.00,1,gley,
3,base,base,3,Road_100-Lane_2-Connector5,100,2,-132.158,0.000,-204.583,9341,Road_100-Lane_2-CConnect5,100,2,-136.325,0.000,-204.582,,,,0.00,0,gley,
4,base,base,4,Road_77-Lane_0-CConnect2,77,0,54.543,0.000,255.102,15578,Road_79-Lane_0-In,79,0,59.912,0.000,255.266,,,,0.00,1,gley,
5,base,base,5,Road_50-Lane_0-Connector3,50,0,307.984,0.000,307.589,17020,Road_50-Lane_0-Connector4,50,0,310.983,0.000,307.987,,,,0.00,1,gley,
6,base,base,6,Road_202-Lane_0-In,202,0,-2939.871,-0.008,-1172.246,4779,Road_202-Lane_0-Waypoint_26,202,0,-2939.821,-0.008,-1168.237,,,,0.00,1,gley,
7,base,base,7,Road_3-Lane_2-CConnect6,3,2,302.020,0.000,-216.422,8540,Road_3-Lane_2-Connector2,3,2,305.876,0.000,-216.437,,,,0.00,0,gley,
8,base,base,8,Road_200-Lane_0-Waypoint_12,200,0,-3038.125,-0.008,-1219.649,1291,Road_200-Lane_0-Waypoint_10,200,0,-3037.845,-0.008,-1214.714,,,,0.00,1,gley,
9,base,base,9,Road_156-Lane_3-Out,156,3,-1485.205,0.200,-961.587,13717,Road_157-Lane_3-In,157,3,-1514.651,0.200,-962.121,,,,0.00,0,gley,
10,base,base,10,Road_138-Lane_1-Waypoint_22,138,1,-1608.463,0.200,-1365.074,3759,Road_138-Lane_1-Out,138,1,-1605.452,0.200,-1365.108,,,,0.00,0,gley,
11,base,base,11,Road_233-Lane_2-Out,233,2,-2603.346,0.000,-989.823,7185,Road_233-Lane_2-CConnect2,233,2,-2603.499,0.000,-993.868,,,,0.00,0,gley,
12,base,base,12,Road_146-Lane_0-Waypoint_8,146,0,-1770.014,0.586,-1406.901,14104,Road_146-Lane_0-Waypoint_10,146,0,-1770.008,0.679,-1412.211,,,,0.00,1,gley,
13,base,base,13,Road_237-Lane_0-Waypoint_139,237,0,-2160.634,0.300,-898.349,60,Road_237-Lane_0-Waypoint_137,237,0,-2154.639,0.300,-898.386,,,,0.00,1,gley,
14,base,base,14,Road_224-Lane_0-Waypoint_29,224,0,-2901.759,-0.209,-1074.837,3783,Road_224-Lane_0-Waypoint_27,224,0,-2897.411,-0.209,-1073.531,,,,0.00,1,gley,
15,base,base,15,Road_228-Lane_0-Waypoint_10,228,0,-3157.776,-0.209,-1100.520,12065,Road_228-Lane_0-Waypoint_8,228,0,-3160.121,-0.209,-1104.463,,,,0.00,1,gley,
16,base,base,16,Road_38-Lane_1-CConnect11,38,1,221.359,0.000,147.691,11061,Road_22-Lane_0-In,22,0,221.371,0.000,146.369,,,,0.00,1,gley,
17,base,base,17,Road_8-Lane_0-Waypoint_2,8,0,399.973,0.000,-48.563,12431,Road_8-Lane_0-Out,8,0,399.975,0.000,-40.836,,,,0.00,1,gley,
18,base,base,18,Road_240-Lane_0-Waypoint_147,240,0,-3062.437,0.050,-1559.050,10103,Road_240-Lane_0-Waypoint_145,240,0,-3069.238,0.050,-1558.748,,,,0.00,1,gley,
19,base,base,19,Road_85-Lane_0-Connector2,85,0,-36.169,0.000,104.258,2882,Road_85-Lane_0-Connector3,85,0,-38.872,0.000,101.680,,,,0.00,1,gley,
20,base,base,20,Road_90-Lane_3-Waypoint_92,90,3,-94.674,0.000,14.791,12960,Road_90-Lane_3-Waypoint_95,90,3,-100.454,0.000,19.282,,,,0.00,0,gley,
22,base,base,22,Road_251-Lane_1-Waypoint_32,251,1,-2952.094,0.050,-1453.734,3878,Road_251-Lane_1-Waypoint_34,251,1,-2952.127,0.050,-1459.359,,,,0.00,1,gley,
23,base,base,23,Road_132-Lane_0-Out,132,0,-560.153,0.010,-40.935,11547,Road_132-Lane_0-CConnect3,132,0,-560.110,0.010,-35.304,,,,0.00,1,gley,
24,base,base,23,Road_132-Lane_0-Out,132,0,-560.153,0.010,-40.935,14872,Road_132-Lane_0-CConnect4,132,0,-560.179,0.010,-35.181,,,,0.00,1,gley,
25,base,base,24,Road_124-Lane_2-CConnect7,124,2,-225.182,0.010,-113.709,11478,Road_124-Lane_2-Connector2,124,2,-221.976,0.010,-111.020,,,,0.00,0,gley,
26,base,base,25,Road_134-Lane_1-Waypoint_30,134,1,-385.816,0.010,-112.947,11257,Road_134-Lane_1-Waypoint_32,134,1,-385.831,0.010,-108.909,,,,0.00,1,gley,
