roadId,streetKey,streetName,confidence,method,axis,centroidX,centroidZ,pointCount,spanX,spanZ
0,ba:street_secondstreet,2nd Street,1.000,intersection+label,northsouth,310.568,68.628,91,20.934,213.874
1,ba:street_secondstreet,2nd Street,1.000,intersection+label,northsouth,310.401,-118.625,91,21.270,213.871
2,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,350.575,-209.801,77,101.215,31.142
3,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,265.931,-210.652,83,108.798,27.838
4,ba:street_secondstreet,2nd Street,1.000,intersection+label,northsouth,310.864,-299.359,91,24.062,180.686
5,ba:street_thirdstreet,3rd Street,1.000,intersection+label,northsouth,223.293,-116.997,91,20.427,213.679
6,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,266.932,-23.539,83,108.705,27.916
7,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,350.528,-22.488,77,101.236,31.727
8,ba:street_firststreet,1st Street,1.000,intersection+label,northsouth,397.407,-125.977,84,15.188,213.896
9,ba:street_firststreet,1st Street,1.000,intersection+label,northsouth,397.268,-289.980,67,13.940,162.130
10,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,337.746,-357.301,80,83.220,22.367
11,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,361.691,-376.358,57,76.055,43.552
12,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,250.520,-357.286,80,83.100,22.424
13,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,281.621,-379.999,76,83.301,11.418
14,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,192.264,-379.951,76,83.191,11.418
15,ba:street_sixthavenue,6th Avenue,1.000,intersection+label,eastwest,163.109,-357.300,80,83.309,22.770
16,ba:street_thirdstreet,3rd Street,1.000,intersection+label,northsouth,223.332,-298.853,94,24.674,180.816
17,ba:street_fifthavenue,5th Avenue,1.000,intersection+label,eastwest,178.460,-210.654,83,108.613,27.325
18,ba:street_fourthstreet,4th Street,1.000,intersection+label,northsouth,135.858,-302.767,100,25.520,184.528
19,ba:street_fourthstreet,4th Street,1.000,intersection+label,northsouth,136.028,-117.070,91,20.518,213.853
20,ba:street_fourthstreet,4th Street,1.000,intersection+label,northsouth,135.894,70.194,91,20.684,213.758
21,ba:street_fourthavenue,4th Avenue,1.000,intersection+label,eastwest,178.448,-23.510,83,108.871,27.548
22,ba:street_thirdstreet,3rd Street,1.000,intersection+label,northsouth,225.273,80.122,102,41.714,217.234
23,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,338.410,468.372,36,84.202,4.291
24,ba:street_firststreet,1st Street,1.000,intersection+label,northsouth,397.348,62.850,84,14.740,213.606
25,ba:street_thirdavenue,3rd Avenue,1.000,intersection+label,eastwest,349.426,164.674,77,101.236,30.924
26,ba:street_thirdavenue,3rd Avenue,0.757,intersection+label,eastwest,270.408,163.811,73,109.122,22.344
27,ba:street_thirdavenue,3rd Avenue,1.000,intersection+label,eastwest,185.721,163.317,93,128.835,28.420
28,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,357.635,460.117,27,73.258,11.818
29,ba:street_firstavenue,1st Avenue,1.000,intersection+label,eastwest,2.899,464.605,76,106.636,12.012
30,ba:street_thirdavenue,3rd Avenue,1.000,intersection+label,eastwest,91.164,163.659,83,108.686,27.857
